decode_path	fusion	enhance_model	finetune_set	test_set	checkpoint	wer
exp/finetune/base_100h_finetune_chime4_processed_from_enhfromlibrimix_42950/decode/chime4_dt05_real/DCCRNet/checkpoint_20_10000/viterbi/wer.473880	enhfromlibrimix	DCCRNet	chime4_processed	chime4_dt05_real	checkpoint_20_10000	99.61281758176924
exp/finetune/base_100h_finetune_chime4_processed_from_enhfromlibrimix_42950/decode/chime4_dt05_real/DCCRNet/checkpoint_40_20000/viterbi/wer.473880	enhfromlibrimix	DCCRNet	chime4_processed	chime4_dt05_real	checkpoint_40_20000	18.629005494302888
exp/finetune/base_100h_finetune_chime4_processed_from_enhfromlibrimix_42950/decode/chime4_dt05_real/DCCRNet/checkpoint_60_30000/viterbi/wer.473880	enhfromlibrimix	DCCRNet	chime4_processed	chime4_dt05_real	checkpoint_60_30000	16.5013459198348
exp/finetune/base_100h_finetune_chime4_processed_from_enhfromlibrimix_42950/decode/chime4_dt05_real/DCCRNet/checkpoint_best/viterbi/wer.473880	enhfromlibrimix	DCCRNet	chime4_processed	chime4_dt05_real	checkpoint_best	15.741730889782072
exp/finetune/base_100h_finetune_chime4_processed_from_enhfromlibrimix_42950/decode/chime4_dt05_real/DCCRNet/checkpoint_last/viterbi/wer.473880	enhfromlibrimix	DCCRNet	chime4_processed	chime4_dt05_real	checkpoint_last	15.778605405804049
exp/finetune/base_100h_finetune_chime4_processed_from_enhfromlibrimix_42950/decode/chime4_et05_real/DCCRNet/checkpoint_40_20000/viterbi/wer.473880	enhfromlibrimix	DCCRNet	chime4_processed	chime4_et05_real	checkpoint_40_20000	33.64005791956654
exp/finetune/base_100h_finetune_chime4_processed_from_enhfromlibrimix_42950/decode/chime4_et05_real/DCCRNet/checkpoint_60_30000/viterbi/wer.473880	enhfromlibrimix	DCCRNet	chime4_processed	chime4_et05_real	checkpoint_60_30000	31.477416039983186
exp/finetune/base_100h_finetune_chime4_processed_from_enhfromlibrimix_42950/decode/chime4_et05_real/DCCRNet/checkpoint_best/viterbi/wer.473880	enhfromlibrimix	DCCRNet	chime4_processed	chime4_et05_real	checkpoint_best	30.790788920547435
exp/finetune/base_100h_finetune_chime4_processed_from_enhfromlibrimix_42950/decode/chime4_et05_real/DCCRNet/checkpoint_last/viterbi/wer.473880	enhfromlibrimix	DCCRNet	chime4_processed	chime4_et05_real	checkpoint_last	30.650660936989116
exp/finetune/base_100h_finetune_chime4_processed_from_fusion_attention_first_40000/decode/chime4_dt05_real/DCCRNet/checkpoint_61_33000/viterbi/wer.473880	fusion_attention_first	DCCRNet	chime4_processed	chime4_dt05_real	checkpoint_61_33000	15.634794793318338
